Date,Name,Value
2015-03-04T00:00:00,JPY,119.73
2015-03-04T00:00:00,ILS,3.9923
2015-03-04T00:00:00,EUR,0.90341
2015-03-05T00:00:00,EUR,0.90871
2015-03-05T00:00:00,GBP,0.65671
2015-03-05T00:00:00,CHF,0.97371
2015-03-05T00:00:00,ILS,3.9942
2015-03-05T00:00:00,JPY,120.25
2015-03-06T00:00:00,GBP,0.6639
2015-03-06T00:00:00,JPY,120.96
2015-03-06T00:00:00,CHF,0.98478
2015-03-06T00:00:00,EUR,0.92135
2015-03-06T00:00:00,ILS,4.0307
2015-03-09T00:00:00,JPY,121.13
2015-03-09T00:00:00,EUR,0.92205
2015-03-09T00:00:00,GBP,0.66243
2015-03-09T00:00:00,ILS,4.0083
2015-03-09T00:00:00,CHF,0.98738
2015-03-10T00:00:00,GBP,0.66291
2015-03-10T00:00:00,JPY,121.24
2015-03-10T00:00:00,ILS,4.0438
2015-03-10T00:00:00,EUR,0.93398
2015-03-10T00:00:00,CHF,0.99976
2015-03-11T00:00:00,JPY,121.56
2015-03-11T00:00:00,ILS,4.0329
2015-03-11T00:00:00,CHF,1.00742
2015-03-11T00:00:00,EUR,0.94569
2015-03-11T00:00:00,GBP,0.66915
2015-03-12T00:00:00,ILS,4.0073
2015-03-12T00:00:00,JPY,121.33
2015-03-12T00:00:00,CHF,1.00348
2015-03-12T00:00:00,EUR,0.9421
2015-03-12T00:00:00,GBP,0.67088
2015-03-13T00:00:00,GBP,0.67777
2015-03-13T00:00:00,JPY,121.13
2015-03-13T00:00:00,CHF,1.0048700000000002
2015-03-13T00:00:00,EUR,0.95027
2015-03-13T00:00:00,ILS,4.0414
2015-03-16T00:00:00,GBP,0.6756800000000001
2015-03-16T00:00:00,CHF,1.00742
2015-03-16T00:00:00,EUR,0.9457
2015-03-16T00:00:00,ILS,4.0066
2015-03-16T00:00:00,JPY,121.34
2015-03-17T00:00:00,EUR,0.94299
2015-03-17T00:00:00,JPY,121.26
2015-03-17T00:00:00,ILS,4.0053
2015-03-17T00:00:00,GBP,0.6783
2015-03-17T00:00:00,CHF,1.00425
2015-03-18T00:00:00,JPY,120.94
2015-03-18T00:00:00,EUR,0.93967
2015-03-18T00:00:00,CHF,0.99532
2015-03-18T00:00:00,GBP,0.68098
2015-03-18T00:00:00,ILS,4.0236
2015-03-19T00:00:00,JPY,120.91
2015-03-19T00:00:00,GBP,0.67906
2015-03-19T00:00:00,EUR,0.94156
2015-03-19T00:00:00,CHF,0.99221
2015-03-19T00:00:00,ILS,4.0316
2015-03-20T00:00:00,ILS,4.0577
2015-03-20T00:00:00,EUR,0.92672
2015-03-20T00:00:00,JPY,120.3
2015-03-20T00:00:00,GBP,0.6701600000000001
2015-03-20T00:00:00,CHF,0.97658
2015-03-23T00:00:00,ILS,3.967
2015-03-23T00:00:00,EUR,0.91518
2015-03-23T00:00:00,GBP,0.66956
2015-03-23T00:00:00,JPY,119.77
2015-03-23T00:00:00,CHF,0.96701
2015-03-24T00:00:00,GBP,0.6726
2015-03-24T00:00:00,EUR,0.91696
2015-03-24T00:00:00,JPY,119.95
2015-03-24T00:00:00,ILS,3.9183
2015-03-24T00:00:00,CHF,0.95877
2015-03-25T00:00:00,EUR,0.91023
2015-03-25T00:00:00,JPY,119.4
2015-03-25T00:00:00,GBP,0.67047
2015-03-25T00:00:00,CHF,0.95753
2015-03-25T00:00:00,ILS,3.9586
2015-03-26T00:00:00,EUR,0.91591
2015-03-26T00:00:00,GBP,0.67378
2015-03-26T00:00:00,ILS,3.9565
2015-03-26T00:00:00,CHF,0.96138
2015-03-26T00:00:00,JPY,119.0
2015-03-27T00:00:00,ILS,3.9609
2015-03-27T00:00:00,CHF,0.95884
2015-03-27T00:00:00,EUR,0.91818
2015-03-27T00:00:00,GBP,0.6721199999999999
2015-03-27T00:00:00,JPY,119.13
2015-03-30T00:00:00,ILS,3.9591
2015-03-30T00:00:00,CHF,0.96811
2015-03-30T00:00:00,EUR,0.92445
2015-03-30T00:00:00,GBP,0.6762100000000001
2015-03-30T00:00:00,JPY,120.16
2015-03-31T00:00:00,GBP,0.6734100000000001
2015-03-31T00:00:00,CHF,0.97143
2015-03-31T00:00:00,EUR,0.9309999999999999
2015-03-31T00:00:00,ILS,3.9771
2015-03-31T00:00:00,JPY,119.99
2015-04-01T00:00:00,GBP,0.67465
2015-04-01T00:00:00,ILS,3.9673
2015-04-01T00:00:00,JPY,119.66
2015-04-01T00:00:00,CHF,0.96718
2015-04-01T00:00:00,EUR,0.92879
2015-04-02T00:00:00,EUR,0.91948
2015-04-02T00:00:00,CHF,0.95791
2015-04-02T00:00:00,GBP,0.67379
2015-04-02T00:00:00,ILS,3.9476
2015-04-02T00:00:00,JPY,119.74
2015-04-06T00:00:00,CHF,0.95272
2015-04-06T00:00:00,EUR,0.90857
2015-04-06T00:00:00,ILS,3.9133
2015-04-06T00:00:00,GBP,0.6685300000000001
2015-04-06T00:00:00,JPY,119.04
2015-04-07T00:00:00,ILS,3.9382
2015-04-07T00:00:00,EUR,0.92169
2015-04-07T00:00:00,CHF,0.96418
2015-04-07T00:00:00,GBP,0.67313
2015-04-07T00:00:00,JPY,120.42
2015-04-08T00:00:00,GBP,0.6701699999999999
2015-04-08T00:00:00,EUR,0.9244
2015-04-08T00:00:00,ILS,3.9296
2015-04-08T00:00:00,CHF,0.96364
2015-04-08T00:00:00,JPY,119.92
2015-04-09T00:00:00,ILS,3.9547
2015-04-09T00:00:00,JPY,120.27
2015-04-09T00:00:00,GBP,0.67857
2015-04-09T00:00:00,EUR,0.9372
2015-04-09T00:00:00,CHF,0.97534
2015-04-10T00:00:00,JPY,120.3
2015-04-10T00:00:00,GBP,0.68277
2015-04-10T00:00:00,ILS,3.987
2015-04-10T00:00:00,EUR,0.94366
2015-04-10T00:00:00,CHF,0.98069
2015-04-13T00:00:00,CHF,0.97804
2015-04-13T00:00:00,JPY,120.36
2015-04-13T00:00:00,ILS,3.9930000000000003
2015-04-13T00:00:00,EUR,0.9451
2015-04-13T00:00:00,GBP,0.68237
2015-04-14T00:00:00,EUR,0.93693
2015-04-14T00:00:00,JPY,119.29
2015-04-14T00:00:00,GBP,0.67624
2015-04-14T00:00:00,CHF,0.97143
2015-04-14T00:00:00,ILS,3.9613
2015-04-15T00:00:00,ILS,3.9804
2015-04-15T00:00:00,JPY,119.26
2015-04-15T00:00:00,CHF,0.97227
2015-04-15T00:00:00,GBP,0.6766
2015-04-15T00:00:00,EUR,0.94374
2015-04-16T00:00:00,EUR,0.93097
2015-04-16T00:00:00,JPY,119.2
2015-04-16T00:00:00,ILS,3.9374
2015-04-16T00:00:00,CHF,0.95854
2015-04-16T00:00:00,GBP,0.67014
2015-04-17T00:00:00,ILS,3.9183
2015-04-17T00:00:00,EUR,0.92763
2015-04-17T00:00:00,GBP,0.66928
2015-04-17T00:00:00,JPY,119.08
2015-04-17T00:00:00,CHF,0.95264
2015-04-20T00:00:00,CHF,0.95448
2015-04-20T00:00:00,GBP,0.67055
2015-04-20T00:00:00,JPY,119.3
2015-04-20T00:00:00,ILS,3.9393
2015-04-20T00:00:00,EUR,0.92912
2015-04-21T00:00:00,GBP,0.66918
2015-04-21T00:00:00,CHF,0.95288
2015-04-21T00:00:00,ILS,3.9504
2015-04-21T00:00:00,JPY,119.4
2015-04-21T00:00:00,EUR,0.92964
2015-04-22T00:00:00,EUR,0.9322
2015-04-22T00:00:00,JPY,119.86
2015-04-22T00:00:00,GBP,0.66562
2015-04-22T00:00:00,ILS,3.944
2015-04-22T00:00:00,CHF,0.9667
2015-04-23T00:00:00,CHF,0.95525
2015-04-23T00:00:00,ILS,3.9323
2015-04-23T00:00:00,EUR,0.92577
2015-04-23T00:00:00,JPY,119.67
2015-04-23T00:00:00,GBP,0.66464
2015-04-24T00:00:00,CHF,0.95322
2015-04-24T00:00:00,EUR,0.91951
2015-04-24T00:00:00,JPY,118.92
2015-04-24T00:00:00,ILS,3.9119
2015-04-24T00:00:00,GBP,0.65897
2015-04-27T00:00:00,JPY,119.14
2015-04-27T00:00:00,EUR,0.91816
2015-04-27T00:00:00,GBP,0.65645
2015-04-27T00:00:00,CHF,0.95345
2015-04-27T00:00:00,ILS,3.8935
2015-04-28T00:00:00,EUR,0.91089
2015-04-28T00:00:00,GBP,0.6525
2015-04-28T00:00:00,ILS,3.8566
2015-04-28T00:00:00,JPY,118.78
2015-04-28T00:00:00,CHF,0.95397
2015-04-29T00:00:00,ILS,3.8561
2015-04-29T00:00:00,CHF,0.93588
2015-04-29T00:00:00,GBP,0.6459199999999999
2015-04-29T00:00:00,EUR,0.8950299999999999
2015-04-29T00:00:00,JPY,118.83
2015-04-30T00:00:00,GBP,0.65247
2015-04-30T00:00:00,CHF,0.94121
2015-04-30T00:00:00,EUR,0.89591
2015-04-30T00:00:00,JPY,119.87
2015-04-30T00:00:00,ILS,3.8657
2015-05-01T00:00:00,ILS,3.8878
2015-05-01T00:00:00,CHF,0.93418
2015-05-01T00:00:00,GBP,0.66067
2015-05-01T00:00:00,EUR,0.8933200000000001
2015-05-01T00:00:00,JPY,120.24
2015-05-04T00:00:00,ILS,3.888
2015-05-04T00:00:00,EUR,0.8972399999999999
2015-05-04T00:00:00,CHF,0.93572
2015-05-04T00:00:00,GBP,0.66159
2015-05-04T00:00:00,JPY,120.27
2015-05-05T00:00:00,CHF,0.92651
2015-05-05T00:00:00,GBP,0.65897
2015-05-05T00:00:00,EUR,0.89497
2015-05-05T00:00:00,ILS,3.8764
2015-05-05T00:00:00,JPY,119.92
2015-05-06T00:00:00,CHF,0.91518
2015-05-06T00:00:00,GBP,0.65598
2015-05-06T00:00:00,ILS,3.8602
2015-05-06T00:00:00,EUR,0.88139
2015-05-06T00:00:00,JPY,119.37
2015-05-07T00:00:00,GBP,0.65691
2015-05-07T00:00:00,JPY,119.71
2015-05-07T00:00:00,EUR,0.8863200000000001
2015-05-07T00:00:00,ILS,3.8696
2015-05-07T00:00:00,CHF,0.91983
2015-05-08T00:00:00,JPY,119.8
2015-05-08T00:00:00,CHF,0.92771
2015-05-08T00:00:00,ILS,3.862
2015-05-08T00:00:00,EUR,0.88974
2015-05-08T00:00:00,GBP,0.6471399999999999
2015-05-11T00:00:00,EUR,0.8975299999999999
2015-05-11T00:00:00,CHF,0.93453
2015-05-11T00:00:00,ILS,3.8649
2015-05-11T00:00:00,JPY,120.09
2015-05-11T00:00:00,GBP,0.64132
2015-05-12T00:00:00,CHF,0.92693
2015-05-12T00:00:00,ILS,3.8568
2015-05-12T00:00:00,JPY,119.75
2015-05-12T00:00:00,GBP,0.63764
2015-05-12T00:00:00,EUR,0.88984
2015-05-13T00:00:00,GBP,0.63502
2015-05-13T00:00:00,ILS,3.8305
2015-05-13T00:00:00,EUR,0.87933
2015-05-13T00:00:00,JPY,119.03
2015-05-13T00:00:00,CHF,0.91628
2015-05-14T00:00:00,EUR,0.8797
2015-05-14T00:00:00,ILS,3.8276
2015-05-14T00:00:00,GBP,0.63426
2015-05-14T00:00:00,JPY,119.2
2015-05-14T00:00:00,CHF,0.91472
2015-05-15T00:00:00,EUR,0.87505
2015-05-15T00:00:00,GBP,0.6340399999999999
2015-05-15T00:00:00,CHF,0.91792
2015-05-15T00:00:00,JPY,119.38
2015-05-15T00:00:00,ILS,3.8067
2015-05-19T00:00:00,CHF,0.93693
2015-05-19T00:00:00,GBP,0.64428
2015-05-19T00:00:00,JPY,120.54
2015-05-19T00:00:00,EUR,0.8968799999999999
2015-05-19T00:00:00,ILS,3.8679
2015-05-20T00:00:00,ILS,3.8744
2015-05-20T00:00:00,CHF,0.93953
2015-05-20T00:00:00,JPY,121.27
2015-05-20T00:00:00,GBP,0.64341
2015-05-20T00:00:00,EUR,0.90259
2015-05-21T00:00:00,CHF,0.9348
2015-05-21T00:00:00,JPY,121.04
2015-05-21T00:00:00,EUR,0.8987799999999999
2015-05-21T00:00:00,GBP,0.63813
2015-05-21T00:00:00,ILS,3.8709
2015-05-22T00:00:00,GBP,0.64585
2015-05-22T00:00:00,JPY,121.42
2015-05-22T00:00:00,CHF,0.94298
2015-05-22T00:00:00,EUR,0.90639
2015-05-22T00:00:00,ILS,3.8911
2015-05-25T00:00:00,CHF,0.9445
2015-05-25T00:00:00,GBP,0.64666
2015-05-25T00:00:00,JPY,121.46
2015-05-25T00:00:00,EUR,0.91148
2015-05-25T00:00:00,ILS,3.8704
2015-05-26T00:00:00,ILS,3.8819999999999997
2015-05-26T00:00:00,GBP,0.64949
2015-05-26T00:00:00,JPY,123.07
2015-05-26T00:00:00,EUR,0.91945
2015-05-26T00:00:00,CHF,0.95052
2015-05-27T00:00:00,ILS,3.8810000000000002
2015-05-27T00:00:00,JPY,123.74
2015-05-27T00:00:00,CHF,0.95088
2015-05-27T00:00:00,GBP,0.65267
2015-05-27T00:00:00,EUR,0.91862
2015-05-28T00:00:00,CHF,0.94616
2015-05-28T00:00:00,ILS,3.8688
2015-05-28T00:00:00,JPY,124.15
2015-05-28T00:00:00,EUR,0.91635
2015-05-28T00:00:00,GBP,0.65403
2015-05-29T00:00:00,CHF,0.94061
2015-05-29T00:00:00,ILS,3.8687
2015-05-29T00:00:00,GBP,0.65433
2015-05-29T00:00:00,JPY,124.03
2015-05-29T00:00:00,EUR,0.90952
2015-06-01T00:00:00,GBP,0.6584800000000001
2015-06-01T00:00:00,JPY,124.63
2015-06-01T00:00:00,EUR,0.91639
2015-06-01T00:00:00,CHF,0.94688
2015-06-01T00:00:00,ILS,3.8759
2015-06-02T00:00:00,CHF,0.93448
2015-06-02T00:00:00,ILS,3.8521
2015-06-02T00:00:00,JPY,124.23
2015-06-02T00:00:00,GBP,0.65233
2015-06-02T00:00:00,EUR,0.89859
2015-06-03T00:00:00,CHF,0.93377
2015-06-03T00:00:00,JPY,124.11
2015-06-03T00:00:00,GBP,0.65154
2015-06-03T00:00:00,ILS,3.8454
2015-06-03T00:00:00,EUR,0.88626
2015-06-04T00:00:00,CHF,0.93433
2015-06-04T00:00:00,GBP,0.65079
2015-06-04T00:00:00,EUR,0.88728
2015-06-04T00:00:00,JPY,124.52
2015-06-04T00:00:00,ILS,3.832
2015-06-05T00:00:00,ILS,3.8666
2015-06-05T00:00:00,JPY,125.59
2015-06-05T00:00:00,GBP,0.6549699999999999
